msp,phylum,class,order,family,genus,species
msp_1717,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 2,unclassified Clostridiales 2,unclassified Clostridiales 2
msp_1718,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unclassified Blautia
msp_1719,Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,Candidatus Gastranaerophilales,unclassified Candidatus Gastranaerophilales,unclassified Candidatus Gastranaerophilales,unclassified Candidatus Gastranaerophilales
msp_1720,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unclassified Blautia
msp_1721,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,unclassified Ruminococcaceae
msp_1723,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales
msp_1724,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Phocea,Phocea massiliensis
msp_1725,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unclassified Blautia
msp_1726,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 2,unclassified Clostridiales 2,unclassified Clostridiales 2
msp_1727,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,unclassified Alistipes
msp_1728,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,unclassified Sutterellaceae,unclassified Sutterellaceae
msp_1729,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,Flavonifractor,unclassified Flavonifractor
msp_1731,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1732,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified Prevotella
msp_1733,Tenericutes,Mollicutes,RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes
msp_1735,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 1,unclassified Clostridiales 1,unclassified Clostridiales 1
msp_1737,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercorirosoris
msp_1738,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1739,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 2,unclassified Clostridiales 2,unclassified Clostridiales 2
msp_1740,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,unclassified Lachnospiraceae
msp_1741,Tenericutes,Mollicutes,RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes
msp_1742,Tenericutes,Mollicutes,RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes
msp_1743,Firmicutes,Clostridia,Clostridiales,Christensenellaceae-Catabacteriaceae,unclassified Christensenellaceae-Catabacteriaceae,unclassified Christensenellaceae-Catabacteriaceae
msp_1744,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1745,Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,Candidatus Melainabacteria bacterium js4906-23-3_S14_33_15
msp_1746,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1747,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena,Faecalicatena fissicatena
msp_1748,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gordonii
msp_1749,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 1,unclassified Clostridiales 1,unclassified Clostridiales 1
msp_1750,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1751,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unclassified Bacteroides
msp_1754,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Raoultella ornithinolytica
msp_1755,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1757,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 4,unclassified Clostridiales 4,unclassified Clostridiales 4
msp_1759,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified Bacteroidales,unclassified Bacteroidales,unclassified Bacteroidales
msp_1760,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 1,unclassified Clostridiales 1,unclassified Clostridiales 1
msp_1763,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 5,unclassified Clostridiales 5,unclassified Clostridiales 5
msp_1766,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter ludwigii
msp_1767,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1768,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1769,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1770,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,unclassified Achromobacter
